epoch: 43; mse: 0.01066; latent: 0.024; avg mse: 0.01058; lr: 0.00030: 100%|██████████| 782/782 [02:19<00:00,  5.59it/s]
epoch: 44; mse: 0.01213; latent: 0.024; avg mse: 0.01054; lr: 0.00030: 100%|██████████| 782/782 [02:20<00:00,  5.56it/s]
epoch: 45; mse: 0.00858; latent: 0.017; avg mse: 0.01049; lr: 0.00030: 100%|██████████| 782/782 [02:17<00:00,  5.68it/s]
epoch: 46; mse: 0.01009; latent: 0.022; avg mse: 0.01042; lr: 0.00030: 100%|██████████| 782/782 [02:10<00:00,  6.00it/s]
epoch: 47; mse: 0.01054; latent: 0.021; avg mse: 0.01042; lr: 0.00030: 100%|██████████| 782/782 [02:11<00:00,  5.96it/s]
epoch: 48; mse: 0.01231; latent: 0.024; avg mse: 0.01034; lr: 0.00030: 100%|██████████| 782/782 [02:07<00:00,  6.15it/s]
epoch: 49; mse: 0.00783; latent: 0.017; avg mse: 0.01034; lr: 0.00030: 100%|██████████| 782/782 [01:58<00:00,  6.60it/s]
epoch: 50; mse: 0.00951; latent: 0.023; avg mse: 0.01033; lr: 0.00030: 100%|██████████| 782/782 [01:54<00:00,  6.81it/s]
epoch: 51; mse: 0.01204; latent: 0.025; avg mse: 0.01030; lr: 0.00030: 100%|██████████| 782/782 [01:58<00:00,  6.58it/s]
epoch: 52; mse: 0.01013; latent: 0.020; avg mse: 0.01022; lr: 0.00030: 100%|██████████| 782/782 [02:09<00:00,  6.06it/s]
epoch: 53; mse: 0.00981; latent: 0.021; avg mse: 0.01022; lr: 0.00030: 100%|██████████| 782/782 [02:01<00:00,  6.43it/s]
epoch: 54; mse: 0.00888; latent: 0.020; avg mse: 0.01015; lr: 0.00030: 100%|██████████| 782/782 [01:51<00:00,  7.00it/s]
epoch: 55; mse: 0.00898; latent: 0.018; avg mse: 0.01012; lr: 0.00030: 100%|██████████| 782/782 [01:41<00:00,  7.71it/s]
epoch: 56; mse: 0.01028; latent: 0.023; avg mse: 0.01016; lr: 0.00030: 100%|██████████| 782/782 [01:38<00:00,  7.97it/s]
epoch: 57; mse: 0.00863; latent: 0.020; avg mse: 0.01011; lr: 0.00030: 100%|██████████| 782/782 [01:35<00:00,  8.20it/s]
epoch: 58; mse: 0.01238; latent: 0.028; avg mse: 0.01006; lr: 0.00030: 100%|██████████| 782/782 [01:34<00:00,  8.27it/s]
epoch: 59; mse: 0.00956; latent: 0.020; avg mse: 0.01008; lr: 0.00030: 100%|██████████| 782/782 [01:43<00:00,  7.59it/s]
epoch: 60; mse: 0.01230; latent: 0.025; avg mse: 0.01001; lr: 0.00030: 100%|██████████| 782/782 [01:55<00:00,  6.79it/s]
epoch: 61; mse: 0.01100; latent: 0.022; avg mse: 0.01004; lr: 0.00030: 100%|██████████| 782/782 [01:33<00:00,  8.39it/s]
epoch: 62; mse: 0.01014; latent: 0.019; avg mse: 0.01001; lr: 0.00030: 100%|██████████| 782/782 [01:26<00:00,  9.05it/s]
epoch: 63; mse: 0.00863; latent: 0.021; avg mse: 0.01003; lr: 0.00030: 100%|██████████| 782/782 [01:24<00:00,  9.30it/s]
epoch: 64; mse: 0.00988; latent: 0.024; avg mse: 0.01000; lr: 0.00030: 100%|██████████| 782/782 [01:24<00:00,  9.29it/s]
epoch: 65; mse: 0.00989; latent: 0.020; avg mse: 0.00999; lr: 0.00030: 100%|██████████| 782/782 [01:24<00:00,  9.28it/s]
epoch: 66; mse: 0.00986; latent: 0.020; avg mse: 0.00997; lr: 0.00030: 100%|██████████| 782/782 [01:24<00:00,  9.28it/s]
epoch: 67; mse: 0.00786; latent: 0.019; avg mse: 0.00996; lr: 0.00030: 100%|██████████| 782/782 [01:24<00:00,  9.27it/s]
epoch: 68; mse: 0.00975; latent: 0.020; avg mse: 0.00999; lr: 0.00030: 100%|██████████| 782/782 [01:24<00:00,  9.25it/s]
epoch: 69; mse: 0.00766; latent: 0.018; avg mse: 0.00993; lr: 0.00030: 100%|██████████| 782/782 [01:34<00:00,  8.27it/s]
epoch: 70; mse: 0.01034; latent: 0.021; avg mse: 0.00996; lr: 0.00030: 100%|██████████| 782/782 [01:34<00:00,  8.25it/s]
epoch: 71; mse: 0.01030; latent: 0.020; avg mse: 0.00997; lr: 0.00030: 100%|██████████| 782/782 [01:35<00:00,  8.23it/s]
epoch: 72; mse: 0.00998; latent: 0.020; avg mse: 0.00993; lr: 0.00030: 100%|██████████| 782/782 [01:35<00:00,  8.21it/s]
epoch: 73; mse: 0.00832; latent: 0.019; avg mse: 0.00991; lr: 0.00030: 100%|██████████| 782/782 [01:35<00:00,  8.19it/s]
epoch: 74; mse: 0.00997; latent: 0.023; avg mse: 0.00989; lr: 0.00030: 100%|██████████| 782/782 [01:35<00:00,  8.16it/s]
epoch: 75; mse: 0.01230; latent: 0.027; avg mse: 0.00992; lr: 0.00030: 100%|██████████| 782/782 [01:36<00:00,  8.14it/s]
epoch: 76; mse: 0.00957; latent: 0.021; avg mse: 0.00989; lr: 0.00030: 100%|██████████| 782/782 [01:36<00:00,  8.11it/s]
epoch: 77; mse: 0.01136; latent: 0.025; avg mse: 0.00990; lr: 0.00030: 100%|██████████| 782/782 [01:36<00:00,  8.08it/s]
epoch: 78; mse: 0.00993; latent: 0.022; avg mse: 0.00985; lr: 0.00030: 100%|██████████| 782/782 [01:37<00:00,  8.04it/s]
epoch: 79; mse: 0.00814; latent: 0.021; avg mse: 0.00985; lr: 0.00030: 100%|██████████| 782/782 [01:37<00:00,  8.02it/s]
epoch: 80; mse: 0.01201; latent: 0.025; avg mse: 0.00987; lr: 0.00030: 100%|██████████| 782/782 [01:38<00:00,  7.97it/s]
epoch: 81; mse: 0.00979; latent: 0.023; avg mse: 0.00982; lr: 0.00030: 100%|██████████| 782/782 [01:51<00:00,  7.01it/s]
epoch: 82; mse: 0.00865; latent: 0.021; avg mse: 0.00986; lr: 0.00030: 100%|██████████| 782/782 [01:26<00:00,  9.02it/s]
epoch: 83; mse: 0.00904; latent: 0.020; avg mse: 0.00984; lr: 0.00030: 100%|██████████| 782/782 [01:26<00:00,  9.01it/s]
epoch: 84; mse: 0.00781; latent: 0.019; avg mse: 0.00981; lr: 0.00030: 100%|██████████| 782/782 [01:26<00:00,  9.00it/s]
epoch: 85; mse: 0.00867; latent: 0.019; avg mse: 0.00982; lr: 0.00030: 100%|██████████| 782/782 [01:27<00:00,  8.98it/s]
epoch: 86; mse: 0.01242; latent: 0.026; avg mse: 0.00978; lr: 0.00030: 100%|██████████| 782/782 [01:26<00:00,  9.01it/s]
epoch: 87; mse: 0.00962; latent: 0.022; avg mse: 0.00980; lr: 0.00030: 100%|██████████| 782/782 [01:35<00:00,  8.20it/s]
epoch: 88; mse: 0.00878; latent: 0.021; avg mse: 0.00980; lr: 0.00030: 100%|██████████| 782/782 [01:26<00:00,  8.99it/s]
epoch: 89; mse: 0.01025; latent: 0.022; avg mse: 0.00981; lr: 0.00030: 100%|██████████| 782/782 [01:26<00:00,  9.02it/s]
epoch: 90; mse: 0.00844; latent: 0.018; avg mse: 0.00983; lr: 0.00030: 100%|██████████| 782/782 [01:31<00:00,  8.58it/s]
epoch: 91; mse: 0.01226; latent: 0.028; avg mse: 0.00978; lr: 0.00030: 100%|██████████| 782/782 [01:32<00:00,  8.49it/s]
epoch: 92; mse: 0.00756; latent: 0.018; avg mse: 0.00980; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.63it/s]
epoch: 93; mse: 0.01216; latent: 0.028; avg mse: 0.00978; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.64it/s]
epoch: 94; mse: 0.00867; latent: 0.022; avg mse: 0.00975; lr: 0.00030: 100%|██████████| 782/782 [01:31<00:00,  8.58it/s]
epoch: 95; mse: 0.01257; latent: 0.028; avg mse: 0.00978; lr: 0.00030: 100%|██████████| 782/782 [01:38<00:00,  7.95it/s]
epoch: 96; mse: 0.00921; latent: 0.022; avg mse: 0.00976; lr: 0.00030: 100%|██████████| 782/782 [01:41<00:00,  7.69it/s]
epoch: 97; mse: 0.00925; latent: 0.021; avg mse: 0.00976; lr: 0.00030: 100%|██████████| 782/782 [01:44<00:00,  7.51it/s]
epoch: 98; mse: 0.01056; latent: 0.023; avg mse: 0.00973; lr: 0.00030: 100%|██████████| 782/782 [01:39<00:00,  7.82it/s]
epoch: 99; mse: 0.00893; latent: 0.020; avg mse: 0.00971; lr: 0.00030: 100%|██████████| 782/782 [01:32<00:00,  8.47it/s]
epoch: 100; mse: 0.01124; latent: 0.025; avg mse: 0.00973; lr: 0.00030: 100%|██████████| 782/782 [01:27<00:00,  8.92it/s]
epoch: 101; mse: 0.00944; latent: 0.022; avg mse: 0.00976; lr: 0.00030: 100%|██████████| 782/782 [01:27<00:00,  8.91it/s]
epoch: 102; mse: 0.00961; latent: 0.022; avg mse: 0.00975; lr: 0.00030: 100%|██████████| 782/782 [01:28<00:00,  8.85it/s]
epoch: 103; mse: 0.00748; latent: 0.018; avg mse: 0.00974; lr: 0.00030: 100%|██████████| 782/782 [01:27<00:00,  8.95it/s]
epoch: 104; mse: 0.01197; latent: 0.028; avg mse: 0.00975; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.73it/s]
epoch: 105; mse: 0.00842; latent: 0.019; avg mse: 0.00974; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.61it/s]
epoch: 106; mse: 0.01171; latent: 0.024; avg mse: 0.00972; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.61it/s]
epoch: 107; mse: 0.00957; latent: 0.022; avg mse: 0.00973; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.62it/s]
epoch: 108; mse: 0.01032; latent: 0.026; avg mse: 0.00973; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.63it/s]
epoch: 109; mse: 0.00853; latent: 0.021; avg mse: 0.00971; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.64it/s]
epoch: 110; mse: 0.00881; latent: 0.021; avg mse: 0.00972; lr: 0.00030: 100%|██████████| 782/782 [01:40<00:00,  7.81it/s]
epoch: 111; mse: 0.00921; latent: 0.021; avg mse: 0.00971; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.69it/s]
epoch: 112; mse: 0.00925; latent: 0.024; avg mse: 0.00969; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.72it/s]
epoch: 113; mse: 0.00908; latent: 0.023; avg mse: 0.00972; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.62it/s]
epoch: 114; mse: 0.01027; latent: 0.026; avg mse: 0.00970; lr: 0.00030: 100%|██████████| 782/782 [01:45<00:00,  7.40it/s]
epoch: 115; mse: 0.01032; latent: 0.026; avg mse: 0.00971; lr: 0.00030: 100%|██████████| 782/782 [01:34<00:00,  8.25it/s]
epoch: 116; mse: 0.00911; latent: 0.024; avg mse: 0.00967; lr: 0.00030: 100%|██████████| 782/782 [01:44<00:00,  7.51it/s]
epoch: 117; mse: 0.00946; latent: 0.022; avg mse: 0.00968; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.70it/s]
epoch: 118; mse: 0.00888; latent: 0.022; avg mse: 0.00969; lr: 0.00030: 100%|██████████| 782/782 [01:48<00:00,  7.20it/s]
epoch: 119; mse: 0.00885; latent: 0.021; avg mse: 0.00970; lr: 0.00030: 100%|██████████| 782/782 [01:52<00:00,  6.95it/s]
epoch: 120; mse: 0.00736; latent: 0.018; avg mse: 0.00966; lr: 0.00030: 100%|██████████| 782/782 [02:07<00:00,  6.12it/s]
epoch: 121; mse: 0.00953; latent: 0.025; avg mse: 0.00966; lr: 0.00030: 100%|██████████| 782/782 [01:58<00:00,  6.57it/s]
